epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2704.45,0.46488,0.51719,0.93508,0.97372,0.96791,0.9925,0.94202,0.33315,0.43914,0.86032,0.000413364,0.000413364,0.000413364
92,2734.62,0.47066,0.52164,0.92267,0.98997,0.98669,0.995,0.93593,0.33715,0.41115,0.86368,0.000411424,0.000411424,0.000411424
93,2765.03,0.4854,0.53835,0.92378,0.98362,0.99854,0.995,0.93531,0.33985,0.40408,0.85849,0.000409483,0.000409483,0.000409483
94,2794.76,0.45003,0.50633,0.94221,0.98979,0.98956,0.995,0.94209,0.32523,0.39082,0.85275,0.000407543,0.000407543,0.000407543
95,2824.85,0.46347,0.54937,0.93132,0.97821,0.98408,0.995,0.94143,0.34072,0.40716,0.86007,0.000405602,0.000405602,0.000405602
96,2854.98,0.44994,0.55142,0.92864,0.96397,0.96763,0.995,0.94435,0.33421,0.43315,0.85981,0.000403662,0.000403662,0.000403662
97,2884.52,0.47863,0.52111,0.93633,0.96362,0.98573,0.99375,0.93654,0.34191,0.41699,0.86105,0.000401722,0.000401722,0.000401722
98,2914.5,0.47224,0.48986,0.92442,0.98881,0.99244,0.995,0.94893,0.32918,0.37827,0.8542,0.000399781,0.000399781,0.000399781
99,2944.95,0.51027,0.51418,0.95033,0.96901,0.98188,0.995,0.93422,0.36823,0.39704,0.86225,0.000397841,0.000397841,0.000397841
100,2976.06,0.49505,0.4849,0.94017,0.99189,0.99621,0.995,0.94101,0.31476,0.36467,0.85336,0.0003959,0.0003959,0.0003959
101,3007.06,0.44492,0.51846,0.93595,0.99368,1,0.995,0.94006,0.33474,0.36916,0.85878,0.00039396,0.00039396,0.00039396
102,3037.9,0.45382,0.52577,0.91824,0.98983,0.98664,0.995,0.93963,0.33637,0.37762,0.85646,0.00039202,0.00039202,0.00039202
103,3067.99,0.43561,0.46397,0.90874,0.97654,0.98461,0.995,0.94442,0.3321,0.38738,0.85485,0.000390079,0.000390079,0.000390079
104,3097.63,0.45053,0.48393,0.92137,0.97297,0.96973,0.99153,0.94094,0.33901,0.40783,0.85884,0.000388139,0.000388139,0.000388139
105,3127.22,0.48355,0.51069,0.95918,0.95818,0.97256,0.99278,0.94699,0.31447,0.40696,0.85505,0.000386198,0.000386198,0.000386198
106,3157.6,0.46098,0.46355,0.93404,0.99005,0.98648,0.995,0.93017,0.3763,0.37924,0.86577,0.000384258,0.000384258,0.000384258
107,3187.88,0.45902,0.58763,0.9437,0.98186,0.99732,0.995,0.94897,0.3323,0.3565,0.85527,0.000382318,0.000382318,0.000382318
108,3219.13,0.49351,0.48715,0.98384,0.98835,0.97965,0.995,0.93633,0.34753,0.36515,0.85719,0.000380377,0.000380377,0.000380377
109,3249.35,0.52242,0.58908,0.94426,0.97442,0.96715,0.99278,0.92221,0.3805,0.37829,0.8679,0.000378437,0.000378437,0.000378437
110,3279.95,0.45175,0.44879,0.94846,0.98794,0.98508,0.995,0.92541,0.37636,0.34963,0.87368,0.000376496,0.000376496,0.000376496
111,3310.01,0.44382,0.45434,0.93947,0.98658,0.98405,0.995,0.93236,0.35581,0.35007,0.86924,0.000374556,0.000374556,0.000374556
112,3341.18,0.42749,0.45945,0.92298,0.9831,0.9937,0.995,0.93634,0.34367,0.34992,0.85744,0.000372616,0.000372616,0.000372616
113,3372.07,0.43609,0.44099,0.91251,0.98756,0.99656,0.995,0.94787,0.33719,0.33731,0.85796,0.000370675,0.000370675,0.000370675
114,3403.29,0.4467,0.44177,0.91063,0.98919,0.99036,0.995,0.9436,0.34609,0.33397,0.86338,0.000368735,0.000368735,0.000368735
115,3433.11,0.43873,0.45746,0.9304,0.98894,1,0.995,0.93416,0.35771,0.33135,0.8643,0.000366794,0.000366794,0.000366794
116,3463.51,0.41429,0.43408,0.91495,0.99027,1,0.995,0.94745,0.34344,0.33246,0.86303,0.000364854,0.000364854,0.000364854
117,3493.83,0.43152,0.44017,0.91277,0.98631,0.9959,0.995,0.95025,0.33695,0.33929,0.8589,0.000362914,0.000362914,0.000362914
118,3523.57,0.49277,0.47234,0.97253,0.97313,0.98485,0.98912,0.92113,0.36517,0.38872,0.86553,0.000360973,0.000360973,0.000360973
119,3553.61,0.38953,0.40426,0.91589,0.97102,0.98247,0.995,0.95756,0.31182,0.36185,0.8512,0.000359033,0.000359033,0.000359033
120,3584.63,0.43772,0.44775,0.93943,0.96891,0.9754,0.995,0.94895,0.33196,0.37717,0.85389,0.000357092,0.000357092,0.000357092
121,3614.39,0.4538,0.63135,0.94015,0.96849,0.95774,0.99278,0.95654,0.32969,0.39034,0.85554,0.000355152,0.000355152,0.000355152
122,3644.3,0.41305,0.49558,0.93341,0.96037,0.95835,0.99269,0.9499,0.32096,0.40894,0.85641,0.000353212,0.000353212,0.000353212
123,3674.62,0.46122,0.46231,0.94824,0.97617,0.93917,0.98638,0.94898,0.31837,0.39115,0.85068,0.000351271,0.000351271,0.000351271
124,3705.25,0.44904,0.52011,0.94608,0.98853,0.94737,0.99028,0.94743,0.31471,0.35377,0.85032,0.000349331,0.000349331,0.000349331
125,3735.13,0.4626,0.50561,0.93545,0.96744,0.97446,0.9869,0.94312,0.31574,0.3648,0.85174,0.00034739,0.00034739,0.00034739
126,3765.29,0.42665,0.42479,0.90455,0.97503,0.98485,0.97128,0.9296,0.33162,0.38086,0.85483,0.00034545,0.00034545,0.00034545
127,3795.55,0.42057,0.46463,0.93829,0.97187,0.95146,0.97214,0.93889,0.30743,0.39942,0.85095,0.00034351,0.00034351,0.00034351
128,3826.14,0.41123,0.40793,0.93795,0.97173,0.97236,0.96847,0.91875,0.33545,0.38908,0.85466,0.000341569,0.000341569,0.000341569
129,3856.88,0.39023,0.40438,0.90665,0.97422,0.98334,0.97489,0.93534,0.31634,0.36503,0.85059,0.000339629,0.000339629,0.000339629
130,3887.83,0.41015,0.39766,0.93285,0.97494,0.9839,0.99278,0.95479,0.31323,0.34682,0.84841,0.000337688,0.000337688,0.000337688
